,Unnamed: 0,Ежемесячный Фин. Отчет Университета,Unnamed: 2,Unnamed: 3,Unnamed: 4,"2024
Остаток","2025
Январ","2025
Февраль","2025
Март","2025
Апрель","2025
Май","2025
Июнь","2025
Июль","2025
Август","2025
Сентябрь","2025
Октябрь","2025
Ноябрь","2025
Декабрь","Grand Total
2024-2025"
0,,,,,,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS,UZS
155,4.2.5),Асосий воситаларни сотиб олиш,43.0,50.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,4.2.5.1),"Машиналар, жиҳозлар ва техника",43.0,54.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,4.2.5.1.1),Транспорт воситалари,,54.0,100.0,,,,,,,,,,,,,,0
158,4.2.5.1.2),"Бошқа машиналар, жиҳозлар ва техника",,54.0,900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,4.2.5.1.3),Мебель ва офис жиҳозлари,,54.0,910.0,,,,,,,,,,,,,,0
160,4.2.5.1.4),"Компьютер жиҳозлари, ҳисоблаш ва аудио-видео техникаси, ахборот технологияси ва керакли ашёлар ",,54.0,920.0,,,,,,,,,,,,,,0
161,4.2.5.1.5),Электр энергия ва бошқа коммунал хизматларни ҳисобга олиш асбоблари,,54.0,930.0,,,,,,,,,,,,,,0
162,4.2.5.1.6),Бошқа техника,,54.0,990.0,,,,,,,,,,,,,,0
163,4.2.5.2),Асосий воситалар сотиб олиш бўйича бошқа турдаги харажатлар,,55.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,4.2.5.2.1),Етиштириладиган активлар,,55.0,100.0,,,,,,,,,,,,,,0
165,4.2.5.2.2),Номоддий активлар,,55.0,200.0,,,,,,,,,,,,,,0
166,4.2.5.2.3),Кутубхона фонди,,55.0,300.0,,,,,,,,,,,,,,0
167,4.2.6),Асосий воситалар бўйича бошқа харажатлар,43.0,90.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,4.2.6.1),Буюртмачини сақлаш харажатлари,,90.0,100.0,,,,,,,,,,,,,,0
169,4.2.6.2),Қурилиш пудрат харажатлари,,90.0,200.0,,,,,,,,,,,,,,0
170,4.2.6.3),Буюртмачини бошқа харажатлари,,90.0,300.0,,,,,,,,,,,,,,0
171,4.3),БОШҚА ХАРАЖАТЛАР,48.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,4.3.1),Бошқа турли харажатлар,48.0,20.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,4.3.2),Жорий,48.0,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,4.3.2.1),Бошқа турли харажатлар,48.0,21.0,100.0,,,,,,,,,,,,,,0
175,4.3.2.2),"Кадастр, ер тузиш, топографик-геодезик ва картографик ишлар харажатлари",48.0,21.0,110.0,,,,,,,,,,,,,,0
176,4.3.2.3),Солиқ ва тўловлар,48.0,21.0,120.0,,,,,,,,,,,,,,0
177,4.3.2.4),Электрон давлат харидларида иштирок этиш учун закалат тўлови харажатлари,48.0,21.0,140.0,,,,,,,,,,,,,,0
178,4.3.2.5),Бошқа харажатлар,48.0,21.0,190.0,,,,,,,,,,,,,,0
179,4.3.2.6),Фуқароларга етказилган зарарларни қоплаш,48.0,21.0,500.0,,,,,,,,,,,,,,0
180,4.4),МОЛИЯВИЙ АКТИВЛАР ВА МАЖБУРИЯТЛАР БЎЙИЧА ХАРАЖАТЛАР,49.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
